"title","year","length","budget","rating","votes","mpaa","genre","n_genres"
"My Family",1995,128,5500000,7,859,"R","Drama",1
"My Life's in Turnaround",1993,84,22000,3.9,196,"R","Comedy",1
"My Little Eye",2002,92,3000000,5.9,2244,"R","Other",0
"My Stepmother Is an Alien",1988,105,16000000,4.7,4080,,"Comedy",1
"Myra Breckinridge",1970,91,5000000,4,431,,"Comedy",1
"Mystery Men",1999,121,68000000,5.8,13331,"PG-13","Action",2
"Mystery, Alaska",1999,119,28000000,6.4,5440,"R","Comedy",2
"Mystic Masseur, The",2001,117,2500000,5.2,157,"PG","Drama",1
"Mystic Pizza",1988,104,6000000,6.1,3767,,"Romance",3
"Mystic River",2003,137,30000000,8,28969,"R","Drama",1
"Nadja",1994,93,1000000,5.7,781,"R","Drama",1
"Naken",2000,94,25000,4.8,420,,"Comedy",1
"Name der Rose, Der",1986,130,20000000,7.7,11654,,"Drama",1
"Napoleon Dynamite",2004,86,400000,7.2,17524,"PG","Comedy",1
"Naqoyqatsi",2002,89,3000000,6.9,575,"PG","Documentary",1
"Native Son",1986,111,2000000,5.9,125,,"Drama",1
"Natural Born Killers",1994,122,50000000,6.6,25596,,"Action",2
"Natural, The",1984,134,28000000,7.4,7353,,"Drama",1
"Necronomicon",1994,96,4000000,4.8,571,,"Other",0
"Neighbors",1981,94,8500000,4.9,1419,,"Comedy",1
"Nemesis Game",2003,92,3000000,5.5,339,"R","Other",0
"Neon Maniacs",1986,91,1500000,4,142,,"Comedy",1
"Neredesin Firuze",2004,128,1500000,7.9,216,,"Comedy",1
"Net, The",1995,114,22000000,5.6,12201,"PG-13","Action",2
"Never Again",2001,98,500000,5.7,309,"R","Romance",2
"NeverEnding Story II: The Next Chapter, The",1990,89,36000000,4.3,1873,,"Other",0
"NeverEnding Story III, The",1994,95,17000000,3,674,,"Other",0
"New Adventures of Pinocchio, The",1999,94,10000000,4.7,106,,"Other",0
"New Guy, The",2002,89,13000000,5.2,4266,"PG-13","Comedy",1
"New Jack City",1991,97,8500000,6.1,3360,,"Action",2
"New York Stories",1989,124,15000000,6.1,2699,,"Comedy",2
"Newton Boys, The",1998,113,27000000,5.7,2003,"PG-13","Action",2
"Next Friday",2000,98,9500000,5.2,3457,"R","Comedy",1
"Next Stop Wonderland",1998,104,1000000,6.7,1467,"R","Romance",3
"Nicholas Nickleby",2002,132,10000000,7.4,1651,"PG","Drama",1
"Night Shadows",1984,99,2500000,3.8,134,,"Other",0
"Night at the Roxbury, A",1998,81,17000000,5.1,5937,,"Comedy",1
"Night of Dark Shadows",1971,129,900000,4.6,139,,"Other",0
"Night of the Living Dead",1990,88,4200000,6.1,2562,,"Other",0
"Night of the Scarecrow",1995,94,2000000,4.3,134,,"Other",0
"Nightmare Before Christmas, The",1993,76,18000000,7.8,19646,,"Animation",1
"Nightmare On Elm Street 3: Dream Warriors, A",1987,88,4000000,5.8,4962,,"Comedy",1
"Nightmare On Elm Street, A",1984,91,1800000,7.1,12590,,"Other",0
"Nightmare On Elm Street: The Dream Child, A",1989,89,6000000,4.3,2988,,"Comedy",1
"Nil by Mouth",1997,128,9000000,6.9,1159,"R","Drama",1
"Ninth Gate, The",1999,133,38000000,6.4,16291,"R","Other",0
"No Code of Conduct",1998,95,12000000,4.4,314,"R","Action",2
"No Looking Back",1998,96,5000000,5.6,622,"R","Romance",3
"No Way Home",1996,99,4000000,6.6,328,"R","Drama",1
"Nochnoy dozor",2004,115,4200000,6.3,1020,"R","Action",1
"North",1994,87,40000000,4.1,2539,,"Comedy",2
"Northfork",2003,103,1900000,6.2,1521,"PG-13","Drama",1
"Not Another Teen Movie",2001,89,16000000,5.2,10295,"R","Comedy",1
"Nothing to Lose",1996,108,200000,4.7,138,,"Drama",1
"November",2004,73,300000,2.8,164,"R","Drama",1
"Novocaine",2001,95,6000000,5.9,2829,"R","Comedy",2
"Nueve reinas",2000,114,1500000,7.6,3721,"R","Drama",1
"Nurse Betty",2000,110,24000000,6.6,10441,"R","Romance",3
"Nutty Professor II: The Klumps",2000,109,84000000,4.5,5825,"PG-13","Comedy",1
"Nutty Professor, The",1996,95,54000000,5.8,12273,"PG-13","Romance",2
"Nymphoid Barbarian in Dinosaur Hell, A",1991,82,40000,2.2,196,,"Other",0
"O.C. and Stiggs",1987,109,7000000,5,286,,"Comedy",1
"Object of My Affection, The",1998,111,15000000,6,4027,"R","Romance",3
"Oblivion",1994,94,2500000,4.2,188,,"Other",0
"Obsession",1976,94,1400000,6.9,924,,"Drama",1
"Ocean's Eleven",2001,116,85000000,7.5,44662,"PG-13","Comedy",1
"Ocean's Twelve",2004,125,110000000,6,14797,"PG-13","Comedy",1
"Octane",2003,91,11500000,4.4,355,"R","Other",0
"Octopus",2000,95,5000000,2.8,367,"PG-13","Other",0
"Octopussy",1983,131,27500000,6.4,8331,,"Action",1
"Offspring, The",1987,99,1100000,5.4,102,,"Other",0
"Ogniem i mieczem",1999,175,8000000,6.7,375,,"Drama",1
"Okul",2004,100,1000000,6.4,224,,"Other",0
"Old School",2003,92,24000000,6.7,14283,"R","Comedy",1
"Oligarkh",2002,123,5000000,6.2,282,,"Drama",1
"Omega Code, The",1999,100,8000000,3.5,2224,,"Action",2
"Omen, The",1976,107,2800000,7.3,7895,,"Drama",1
"On a Clear Day You Can See Forever",1970,129,10000000,5.8,578,,"Romance",2
"On the Border",1998,103,3000000,4.8,165,"R","Drama",1
"On the Line",2001,85,10000000,4.1,1013,"PG","Romance",2
"Once Upon a Time in America",1984,227,30000000,8.2,19292,"R","Drama",1
"One Eight Seven",1997,119,23000000,6.3,2958,"R","Drama",1
"One Hour Photo",2002,96,12000000,7.1,17130,"R","Drama",1
"One Man's Hero",1999,121,18000000,5.5,271,,"Action",3
"One True Thing",1998,127,30000000,7,2534,"R","Drama",1
"One from the Heart",1982,107,26000000,6,759,,"Romance",2
"Only Game in Town, The",1970,113,11000000,4.8,115,,"Drama",1
"Open Range",2003,139,26000000,7.5,8799,"R","Drama",1
"Open Water",2003,79,130000,6.1,7204,"R","Drama",1
"Ordinary People",1980,124,6000000,7.9,6785,,"Drama",1
"Orgazmo",1997,92,1000000,5.7,5128,"NC-17","Comedy",1
"Original Gangstas",1996,99,4800000,5.3,216,"R","Drama",1
"Original Sin",2001,116,26000000,5.5,4592,"R","Romance",2
"Osama",2003,83,46000,7.5,1546,"PG-13","Drama",1
"Osmosis Jones",2001,95,75000000,6.2,3410,"PG","Animation",2
"Othello",1995,123,11000000,6.8,1852,"R","Drama",1
"Other Side of Heaven, The",2001,113,7000000,6.5,683,"PG","Drama",1
"Others, The",2001,104,17000000,7.8,36914,"PG-13","Drama",1
"Out Cold",2001,92,11000000,5.2,1990,"PG-13","Comedy",1
"Out for a Kill",2003,88,20000000,3,818,"R","Action",1
"Out of Reach",2004,88,20000000,3.7,399,"R","Action",3
"Out of Sight",1998,123,48000000,7.3,18776,,"Romance",3
"Out-of-Towners, The",1999,90,40000000,5,2919,"PG-13","Comedy",1
"Outbreak",1995,127,50000000,6.4,13796,"R","Drama",1
"Outfoxed: Rupert Murdoch's War on Journalism",2004,88,200000,7.8,1382,,"Documentary",1
"Outland",1981,109,16000000,6.3,3539,,"Action",1
"Outside Providence",1999,96,7000000,6.1,2735,"R","Romance",3
"Outsiders, The",1983,91,10000000,6.8,7125,"PG-13","Drama",1
"P.S. Your Cat Is Dead",2002,88,2000000,4.7,185,"R","Comedy",1
"Pacifier, The",2005,95,56000000,4.9,2179,"PG","Action",2
"Pale Rider",1985,115,6900000,6.9,4487,,"Other",0
"Pandaemonium",2000,124,15000000,6.2,244,"PG-13","Drama",1
"Panic",2000,88,1000000,6.9,2524,"R","Comedy",2
"Panic Room",2002,113,48000000,7,24302,"R","Drama",1
"Paparazzi",2004,84,20000000,5.6,2028,"PG-13","Drama",1
"Parents",1989,81,3000000,5.9,625,,"Comedy",1
"Paris Is Burning",1990,71,500000,7,340,,"Documentary",1
"Party Monster",2003,98,5000000,5.8,1976,"R","Drama",1
"Passion of the Christ, The",2004,127,30000000,7.4,34046,"R","Drama",1
"Pat Garrett and Billy the Kid",1973,122,4638783,6.9,1469,"R","Other",0
"Patch Adams",1998,115,50000000,6.1,12110,"PG-13","Comedy",2
"Patriot Games",1992,117,45000000,6.8,12751,,"Action",2
"Patriot, The",2000,164,110000000,6.8,29665,"R","Action",2
"Patrullero, El",1991,105,1500000,6.9,117,,"Drama",1
"Patton",1970,172,12000000,8.2,14351,,"Drama",1
"Pavilion of Women",2001,111,5000000,5.3,209,"R","Drama",1
"Pay It Forward",2000,123,40000000,6.7,13531,"PG-13","Romance",2
"Payback",1999,100,50000000,6.8,18252,"R","Other",0
"Paycheck",2003,119,60000000,6.1,10383,"PG-13","Action",1
"Peacekeeper, The",1997,98,10000000,4.6,505,"R","Action",1
"Peacemaker, The",1997,124,50000000,5.9,8994,"R","Action",1
"Pee-wee's Big Adventure",1985,90,6000000,6.7,7552,,"Comedy",1
"Peggy Sue Got Married",1986,104,18000000,6.3,5797,,"Comedy",2
"Pennies from Heaven",1981,108,22000000,6.3,1109,,"Romance",3
"Permanent Record",1988,91,8000000,6.1,360,,"Drama",1
"Pest, The",1997,84,17000000,3.8,1405,"PG-13","Comedy",1
"Pet Sematary",1989,103,11500000,5.7,5718,,"Other",0
"Pet Sematary II",1992,96,8000000,3.7,1979,,"Other",0
"Peter Pan",2003,113,100000000,7.2,5596,"PG","Action",1
"Phantasm III: Lord of the Dead",1994,91,2500000,4.8,608,,"Other",0
"Phantasm IV: Oblivion",1998,90,650000,4.5,492,"R","Other",0
"Phantom of the Opera, The",2004,143,60000000,7.2,11283,"PG-13","Romance",2
"Phenomena",1985,82,3800000,6.5,1590,,"Other",0
"Philadelphia",1993,125,26000000,7.5,17861,,"Drama",1
"Pi",1998,84,60000,7.5,19431,"R","Other",0
"Pianist, The",2002,150,35000000,8.5,30467,"R","Drama",1
"Piano, The",1993,121,7000000,7.4,12394,,"Romance",2
"Pick-up Artist, The",1987,81,15000000,4.8,870,,"Romance",2
"Picture Perfect",1997,105,19000000,5.6,3019,"PG-13","Romance",2
"Pink Flamingos",1972,108,12000,6.1,2029,"NC-17","Comedy",1
"Pink Narcissus",1971,64,27000,5.2,114,,"Drama",1
"Pink Panther Strikes Again, The",1976,103,6000000,6.9,3394,,"Comedy",1
"Piranha",1978,94,660000,5.4,1553,,"Comedy",1
"Pirates",1986,124,40000000,5.5,973,,"Comedy",1
"Platoon",1986,120,6000000,8.1,35210,,"Action",2
"Pleasantville",1998,124,40000000,7.5,22561,"PG-13","Comedy",2
"Pocahontas",1995,81,55000000,5.7,6498,,"Animation",2
"Poetic Justice",1993,109,14000000,5,1207,,"Romance",2
"Point Break",1991,120,24000000,6.5,11180,,"Action",2
"Point Men, The",2001,88,6100000,4.6,266,"R","Action",1
"Poison",1991,85,250000,6.2,452,,"Drama",1
"Pollock",2000,132,6000000,7.1,4013,"R","Drama",1
"Poltergeist II: The Other Side",1986,130,19000000,4.9,2482,,"Other",0
"Poltergeist III",1988,98,9500000,3.7,2081,,"Other",0
"Polyester",1981,86,300000,6.5,1115,,"Comedy",1
"Pooh's Heffalump Movie",2005,68,20000000,6.7,295,,"Animation",1
"Pootie Tang",2001,70,3000000,4.1,1921,"PG-13","Action",2
"Popeye",1980,115,20000000,4.8,4822,,"Comedy",1
"Porky's",1982,94,4000000,5.4,5483,,"Comedy",1
"Porky's Revenge",1985,92,9000000,3.7,1143,,"Comedy",1
"Poseidon Adventure, The",1972,117,5000000,6.8,5591,,"Action",2
"Postino, Il",1994,108,3000000,7.6,8342,"PG","Romance",3
"Postman, The",1997,177,80000000,5.2,8773,,"Action",2
"Powerpuff Girls, The",2002,73,10000000,6.2,1334,"PG","Animation",3
"Practical Magic",1998,103,60000000,5.4,7786,"PG-13","Romance",2
"Pray for Death",1985,92,4000000,4.4,101,,"Action",1
"Prefontaine",1997,106,8000000,6.4,949,,"Drama",1
"Pretty Woman",1990,125,14000000,6.6,23316,,"Romance",2
"Price of Glory",2000,118,10000000,6.2,265,"PG-13","Drama",1
"Primary Colors",1998,143,65000000,6.8,7756,"R","Comedy",2
"Primer",2004,77,7000,6.4,1466,"PG-13","Drama",1
"Prince of Darkness",1987,102,3000000,6.1,2817,,"Other",0
"Prince of Egypt, The",1998,99,60000000,6.9,9212,"PG","Animation",2
"Princess Bride, The",1987,98,16000000,8.2,53946,,"Romance",2
"Princess Diaries, The",2001,114,37000000,6,6892,,"Comedy",1
"Prisoner of Zenda, The",1979,108,12500000,4.3,172,,"Comedy",1
"Private Lessons",1981,87,2800000,4.4,306,,"Comedy",1
"Private Life of Sherlock Holmes, The",1970,125,10000000,7.3,957,,"Comedy",2
"Private Parts",1997,109,20000000,6.6,9289,"R","Comedy",2
"Progeny",1998,99,2500000,4.2,291,"R","Other",0
"Prowler, The",1981,87,1000000,4.7,332,,"Other",0
"Psycho",1998,105,20000000,5,7255,"R","Other",0
"Psycho Beach Party",2000,95,1500000,5.7,1404,,"Comedy",1
"Psycho II",1983,113,5000000,5.7,2228,,"Other",0
"Puddle Cruiser",1996,102,160000,6.3,137,,"Comedy",1
"Pulp Fiction",1994,168,8000000,8.8,132745,"R","Drama",1
"Pumpkinhead",1989,86,3500000,5.4,1275,,"Other",0
"Punch-Drunk Love",2002,95,25000000,7.5,18169,"R","Romance",3
"Punisher, The",1989,92,10000000,4.7,2007,,"Action",1
"Punisher, The",2004,124,33000000,6.2,9989,"R","Action",1
"Puppet Master II",1991,88,780000,4.3,413,,"Other",0
"Purple Rose of Cairo, The",1985,84,15000000,7.5,5273,,"Romance",2
"Pushing Tin",1999,119,33000000,5.9,7528,"R","Comedy",2
"Q",1982,93,1200000,6,578,,"Drama",1
"Queen of the Damned",2002,104,35000000,4.7,6999,"R","Other",0
"Quest for Camelot",1998,74,40000000,5.4,974,,"Animation",3
"Quiet American, The",2002,101,30000000,7.4,5957,"R","Romance",2
"Quigley Down Under",1990,119,20000000,6.2,2315,,"Drama",1
"Rabbit-Proof Fence",2002,94,6000000,7.7,5079,"PG","Drama",1
"Radio",2003,109,35000000,6.9,3594,"PG","Drama",1
"Radio Days",1987,85,16000000,7.4,3989,,"Comedy",2
"Radio Flyer",1992,114,35000000,6.4,2447,,"Drama",1
"Rage: Carrie 2, The",1999,104,21000000,4.4,3280,"R","Other",0
"Raging Bull",1980,129,18000000,8.4,26739,,"Drama",1
"Raiders of the Lost Ark",1981,115,20000000,8.7,93511,,"Action",1
"Rainmaker, The",1997,135,40000000,6.8,8620,"PG-13","Drama",1
"Raise the Titanic",1980,115,36000000,4.4,612,,"Action",2
"Raising Arizona",1987,94,6000000,7.6,19991,,"Comedy",1
"Raising Cain",1992,91,11000000,5.4,1885,,"Other",0
"Raising Victor Vargas",2002,88,800000,6.7,1785,"R","Romance",3
"Rambo III",1988,101,65000000,4.1,7631,,"Action",1
"Rambo: First Blood Part II",1985,94,44000000,5.1,9479,,"Action",2
"Rancid Aluminium",2000,88,12000000,3.5,352,"R","Drama",1
"Random Hearts",1999,133,64000000,4.8,5919,"R","Romance",2
"Ransom",1996,139,80000000,6.6,17678,"R","Action",2
"Rare Birds",2001,99,5000000,6.4,471,"R","Comedy",2
"Rat Race",2001,112,48000000,6.5,13913,"PG-13","Comedy",1
"Re-Animator",1985,95,900000,6.9,3546,,"Comedy",1
"Real Cancun, The",2003,96,8000000,2.8,1504,"R","Documentary",1
"Real Women Have Curves",2002,87,3000000,7,1944,"PG-13","Comedy",2
"Recess: School's Out",2001,82,10000000,6,512,,"Animation",2
"Red Baron, The",1971,97,900000,4.9,120,"PG-13","Action",2
"Red Dragon",2002,124,90000000,7.3,21089,"R","Other",0
"Red Planet",2000,106,75000000,5.3,8623,"PG-13","Action",1
"Red Scorpion",1989,98,16000000,3.6,711,,"Action",1
"Red Sonja",1985,89,17900000,4.3,3947,,"Action",1
"Reds",1981,194,35000000,7.1,2394,,"Romance",2
"Ref, The",1994,93,11000000,6.8,4791,,"Comedy",1
"Reign of Fire",2002,101,95000000,5.8,11452,"PG-13","Action",1
"Reindeer Games",2000,124,36000000,5.5,7120,"R","Action",2
"Relic, The",1997,110,40000000,5.3,5102,"R","Other",0
"Remains of the Day, The",1993,134,15000000,7.8,10310,,"Romance",2
"Rembrandt",2003,109,3000000,6.8,416,,"Action",2
"Remember the Titans",2000,113,30000000,7.4,14195,"PG","Drama",1
"Replacement Killers, The",1998,87,30000000,5.8,6825,"R","Action",1
"Replacements, The",2000,114,50000000,6.2,7617,"PG-13","Comedy",1
"Requiem for a Dream",2000,102,4500000,8.4,47845,"R","Drama",1
"Resident Evil",2002,100,35000000,6.2,18978,"R","Action",1
"Resident Evil: Apocalypse",2004,94,50000000,5.6,10486,"R","Action",1
"Restoration",1995,117,18000000,6.6,1874,"R","Drama",1
"Resurrection Man",1998,102,4000000,4.6,214,"R","Drama",1
"Return of the Aliens: The Deadly Spawn",1983,81,25000,5,173,,"Other",0
"Return of the Living Dead 3",1993,97,2000000,5.3,1386,,"Other",0
"Return of the Living Dead, The",1985,91,4000000,6.7,3344,,"Comedy",1
"Return of the Pink Panther, The",1975,113,5000000,6.8,3136,,"Comedy",1
"Return of the Secaucus 7",1980,110,60000,7.1,525,,"Drama",1
"Return of the Texas Chainsaw Massacre, The",1994,86,600000,2.6,2634,,"Comedy",1
"Return to Innocence",2001,98,100000,7.5,477,,"Drama",1
"Return to Me",2000,115,24000000,6.9,5057,"PG","Romance",3
"Return to Never Land",2002,72,20000000,5.8,988,,"Animation",1
"Return to Oz",1985,113,27000000,6.3,2225,,"Other",0
"Revelation",1999,98,5000000,4.5,203,"PG-13","Action",2
"Revenge of the Nerds",1984,90,8000000,6,6007,,"Comedy",1
"Revolution",1985,126,28000000,4.6,937,,"Other",0
"Rhapsody in Bloom",1998,92,2200000,6.2,104,,"Romance",2
"Rich in Love",1993,105,18000000,6,216,,"Drama",1
"Riders",2002,83,15000000,5.1,922,"R","Action",1
"Right Stuff, The",1983,193,27000000,7.9,12907,,"Drama",1
"Ring, The",2002,115,45000000,7.4,30687,"PG-13","Drama",1
"Ringu",1998,96,1200000,7.4,8091,,"Other",0
"River Wild, The",1994,111,45000000,6.1,4942,,"Action",2
"Road to El Dorado, The",2000,89,95000000,6.3,2838,"PG","Animation",3
"Road to Perdition",2002,117,80000000,7.7,30526,"R","Drama",1
"Robin Hood",1973,83,15000000,7.2,3396,,"Animation",2
"Robin Hood: Prince of Thieves",1991,155,50000000,6.5,20286,,"Action",3
"RoboCop 3",1993,104,22000000,3.2,4519,,"Action",1
"Rock, The",1996,136,75000000,7,46184,"R","Action",2
"Rocky",1976,119,1100000,7.8,22893,,"Romance",2
"Rocky Horror Picture Show, The",1975,98,1200000,6.8,16737,,"Comedy",1
"Rocky IV",1985,91,31000000,5.3,11503,,"Action",2
"Roger & Me",1989,91,160000,7.7,7674,,"Documentary",2
"Rogue Trader",1999,101,12800000,6.1,1379,,"Drama",1
"Roi danse, Le",2000,115,21000000,5.9,422,,"Drama",1
"Roma",2004,155,2763806,7.5,105,,"Drama",1
"Romantic Englishwoman, The",1975,115,1200000,6,119,,"Comedy",2
"Romeo + Juliet",1996,120,14500000,6.7,22306,"PG-13","Action",3
"Ronin",1998,121,55000000,7,21982,"R","Action",1
"Room with a View, A",1985,117,3000000,7.4,6369,,"Romance",3
"Roommates",1995,108,22000000,6.1,456,,"Comedy",2
"Roozi khe zan shodam",2000,78,180000,7.3,227,,"Drama",1
"Rose, The",1979,125,8500000,6.6,1076,,"Drama",1
"Rosewood",1997,140,31000000,6.8,1840,"R","Action",2
"Route 666",2001,86,2300000,4,487,"R","Action",1
"Ruby in Paradise",1993,114,800000,7,827,,"Drama",1
"Rugrats Go Wild!",2003,81,25000000,4.8,423,"PG","Animation",2
"Rugrats in Paris: The Movie - Rugrats II",2000,78,30000000,5.7,755,,"Animation",2
"Rules of Attraction, The",2002,110,4000000,6.7,8552,"R","Romance",3
"Rules of Engagement",2000,128,60000000,6.3,7903,"R","Drama",1
"Rumpelstiltskin",1996,87,3000000,3,265,"R","Other",0
"Runaway Bride",1999,116,70000000,5.4,12624,"PG","Romance",2
"Runaway Jury",2003,127,60000000,7.1,10761,"PG-13","Drama",1
"Running Brave",1983,106,8000000,6.1,156,,"Other",0
"Running Man, The",1987,101,27000000,6.2,11847,,"Action",1
"Running Time",1997,70,120000,7,305,,"Other",0
"Rush Hour",1998,93,35000000,6.7,18336,"PG-13","Action",2
"Rushmore",1998,93,10000000,7.7,22209,"R","Romance",3
"Ryan's Daughter",1970,202,15000000,7.4,965,"R","Romance",2
"S.W.A.T.",2003,117,80000000,5.9,12732,"PG-13","Action",1
"SSSSSSS",1973,99,1300000,4.4,383,,"Other",0
"Safe Men",1998,88,1000000,6.1,590,"R","Comedy",1
"Sahara",2005,124,130000000,5.8,3004,"PG-13","Action",2
"Saint, The",1997,116,70000000,5.7,12591,"PG-13","Action",2
"Samsara",2001,138,3000000,7.6,636,"R","Action",3
"Sangre eterna",2002,108,25000,4.6,148,"R","Other",0
"Santa Claus",1985,107,50000000,4.7,983,,"Other",0
"Santa Clause 2, The",2002,105,60000000,5.8,2616,,"Romance",2
"Sara",1997,105,835000,6.3,175,,"Action",2
"Saved!",2004,92,5000000,7.1,6504,"PG-13","Comedy",2
"Saving Private Ryan",1998,170,70000000,8.3,100267,"R","Action",2
"Saving Silverman",2001,96,22000000,5.4,6684,"R","Romance",2
"Savior",1998,104,10000000,7.2,1775,"R","Drama",1
"Saw",2004,100,1200000,7.5,17191,"R","Other",0
"Say It Isn't So",2001,93,25000000,4.6,3144,"R","Romance",2
"Scary Movie",2000,88,19000000,5.5,23293,"R","Comedy",1
"Scary Movie 2",2001,83,45000000,4.2,12035,"R","Comedy",1
"Scary Movie 3",2003,84,45000000,5.3,9225,"PG-13","Comedy",1
"Schindler's List",1993,195,25000000,8.8,97667,"R","Drama",1
"School Daze",1988,121,6500000,5.3,955,,"Drama",1
"School of Rock, The",2003,108,20000000,7.4,16452,"PG-13","Comedy",1
"Scooby-Doo",2002,86,84000000,4.8,9618,"PG","Comedy",1
"Score, The",2001,124,68000000,6.8,16106,"R","Drama",1
"Scorpion King, The",2002,92,60000000,5.3,10111,"PG-13","Action",1
"Scream",1996,111,15000000,7,43652,"R","Other",0
"Scream 2",1997,120,24000000,5.9,21533,"R","Other",0
"Scream 3",2000,116,40000000,5.4,15403,"R","Other",0
"Screamers",1995,108,11000000,5.6,2725,"R","Other",0
"Screwballs",1983,80,800000,4.3,241,,"Comedy",1
"Screwed",2000,78,10000000,4.8,1592,"PG-13","Comedy",1
"Seabiscuit",2003,141,86000000,7.5,11552,"PG-13","Drama",1
"Searching for Debra Winger",2002,97,600000,5.6,301,"R","Documentary",1
"Secondhand Lions",2003,120,30000000,7.4,5543,"PG","Comedy",2
"Secret Life of Girls, The",1999,90,2500000,5,145,,"Comedy",1
"Secrets & Lies",1996,136,4500000,7.9,7747,"R","Comedy",2
"See Spot Run",2001,94,16000000,5,1193,"PG","Comedy",1
"Sense and Sensibility",1995,136,16500000,7.7,13904,"PG","Romance",3
"September",1987,82,10000000,6.1,918,,"Drama",1
"Serial Mom",1994,95,13000000,6.3,4750,"R","Comedy",1
"Serpent and the Rainbow, The",1988,98,7000000,5.9,2166,,"Other",0
"Serpent's Kiss, The",1997,104,13000000,5.3,368,"R","Drama",1
"Serpent's Lair",1995,90,4000000,4.1,118,"R","Other",0
"Serving Sara",2002,99,29000000,4.6,2990,"PG-13","Romance",2
"Session 9",2001,97,1500000,6.6,3718,"R","Drama",1
"Seven Years in Tibet",1997,139,70000000,6.6,9426,"PG-13","Drama",1
"Sgt. Bilko",1996,93,39000000,5.1,3712,"PG","Comedy",1
"Shade",2003,101,6800000,6.5,1616,"R","Drama",1
"Shadow of the Vampire",2000,87,8000000,6.8,8366,,"Comedy",2
"Shadow, The",1994,108,40000000,5.2,3386,,"Action",1
"Shadows and Fog",1992,85,14000000,6.3,2303,,"Comedy",2
"Shaft",1971,100,1125000,6.5,2923,,"Action",2
"Shaft",2000,99,46000000,6,13742,"R","Action",1
"Shakes the Clown",1992,87,1400000,5.5,838,"R","Comedy",1
"Shakespeare in Love",1998,122,25000000,7.5,41999,"R","Romance",3
"Shall We Dance",2004,106,40000000,6,3479,"PG-13","Romance",3
"Shallow Grave",1994,93,2500000,7.4,9401,"R","Drama",1
"Shallow Hal",2001,113,40000000,6.1,13217,"PG-13","Romance",3
"Shanghai Knights",2003,114,50000000,6.3,7279,"PG-13","Action",2
"Shanghai Noon",2000,110,55000000,6.7,12258,"PG-13","Action",2
"Shanghai Surprise",1986,97,17000000,2.8,836,,"Romance",2
"Shark Tale",2004,90,75000000,5.9,7819,"PG","Animation",3
"Shawshank Redemption, The",1994,142,25000000,9.1,149494,"R","Drama",1
"She's All That",1999,95,10000000,5.5,13070,"PG-13","Romance",2
"She's Gotta Have It",1986,88,160000,6.3,1034,,"Romance",2
"She's the One",1996,96,3500000,6,3779,"R","Romance",2
"Sheena",1984,117,25000000,4,618,,"Action",2
"Shelter Island",2003,82,5000000,3.9,191,"R","Other",0
"Shine",1996,105,5500000,7.6,12425,"PG-13","Romance",2
"Shining, The",1980,146,19000000,8.3,50908,,"Other",0
"Shipping News, The",2001,111,35000000,6.9,7695,"R","Romance",2
"Shock Treatment",1981,94,3500000,4.5,572,,"Comedy",1
"Shock Waves",1977,90,200000,5.4,429,,"Other",0
"Shot at Glory, A",2000,114,9000000,6.3,286,"R","Drama",1
"Showgirls",1995,131,45000000,3.8,11483,"NC-17","Drama",1
"Sid and Nancy",1986,110,4000000,7,3057,,"Drama",1
"Sideways",2004,123,16000000,8,17051,"R","Comedy",2
"Siege, The",1998,116,70000000,5.9,9725,"R","Action",2
"Signs",2002,108,72000000,7.1,40285,"PG-13","Drama",1
"Silence of the Lambs, The",1991,118,19000000,8.5,92060,,"Other",0
"Silent Movie",1976,87,4400000,6.3,2321,,"Comedy",1
"Silent Night, Deadly Night",1984,85,750000,4.4,563,,"Other",0
"Silver Bullet",1985,95,7000000,5.6,2000,,"Other",0
"Simon Birch",1998,113,20000000,6.8,4612,"PG","Comedy",2
"Simple Plan, A",1998,121,17000000,7.6,15398,"R","Drama",1
"Simple Wish, A",1997,89,28000000,5,423,"PG","Comedy",1
"Sin City",2005,124,45500000,8.3,23473,"R","Action",1
"Sinbad: Legend of the Seven Seas",2003,86,60000000,6.5,2340,"PG","Animation",1
"Sindrome di Stendhal, La",1996,113,3800000,5.8,972,,"Other",0
"Singing Detective, The",2003,109,10000000,5.3,1184,"R","Comedy",2
"Singles Ward, The",2002,102,500000,5.7,291,"PG","Romance",3
"Sinnui yauman",1987,92,5600000,7.4,1606,,"Action",2
"Six Days Seven Nights",1998,101,70000000,5.6,11112,,"Action",3
"Six-String Samurai",1998,91,2000000,6.2,1163,"PG-13","Action",1
"Skeletons",1996,87,2200000,5.3,122,,"Drama",1
"Skulls, The",2000,106,15000000,5.3,6530,"PG-13","Drama",1
"Slacker",1991,97,23000,6.7,2108,,"Comedy",2
"Slap Her... She's French",2002,92,10000000,4.7,811,"PG-13","Comedy",1
"Slashers",2001,97,165000,5.2,213,"R","Other",0
"Sleepers",1996,147,44000000,7,17896,"R","Drama",1
"Sleeping Dictionary, The",2003,109,12000000,6.1,696,"R","Romance",2
"Sleepless in Seattle",1993,105,21000000,6.7,19224,,"Romance",3
"Sleepover",2004,89,10000000,4.1,733,"PG","Comedy",1
"Slums of Beverly Hills",1998,92,5000000,6.4,2914,"R","Comedy",2
"Smile Like Yours, A",1997,98,18000000,4.5,348,"R","Romance",2
"Smilla's Sense of Snow",1997,120,35000000,6.3,3722,"R","Action",2
"Smoke",1995,112,7000000,7.4,8111,"R","Comedy",2
